Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-02-08,INFY,EQ,1174.7,1163.75,1172.2,1143.8,1145.85,1150.8,1159.26,2110522,244663595994999.97,58432,1435924,0.6804000000000001
2016-02-09,INFY,EQ,1150.8,1128.3,1128.3,1093.5,1107.5,1107.65,1107.11,3789786,419570909440000.0,110917,2447506,0.6458
2016-02-10,INFY,EQ,1107.65,1108.0,1127.5,1105.0,1106.1,1108.55,1115.31,2933027,327124882910000.0,95356,1678192,0.5722
2016-02-11,INFY,EQ,1108.55,1111.0,1113.0,1071.15,1078.8,1078.65,1089.29,2607189,283998798455000.0,93260,1525023,0.5849000000000001
2016-02-12,INFY,EQ,1078.65,1094.7,1104.4,1067.0,1084.75,1084.65,1083.79,3704048,401440921780000.0,112945,2195228,0.5927
2016-02-15,INFY,EQ,1084.65,1096.25,1100.2,1086.6,1089.0,1091.75,1091.38,2546739,277945726369999.97,107866,1662965,0.653
2016-02-16,INFY,EQ,1091.75,1087.0,1092.75,1073.7,1081.2,1079.15,1081.53,2562724,277167174490000.0,92796,1599118,0.624
2016-02-17,INFY,EQ,1079.15,1081.75,1103.0,1077.0,1095.0,1097.85,1089.23,2082299,226810457665000.0,79410,1221857,0.5868
2016-02-18,INFY,EQ,1097.85,1100.0,1127.0,1100.0,1121.3,1123.4,1115.43,2094536,233631781275000.0,70844,1322322,0.6313000000000001
2016-02-19,INFY,EQ,1123.4,1119.2,1134.2,1113.85,1123.45,1127.25,1125.72,1987009,223682527194999.97,85227,1299849,0.6542
2016-02-22,INFY,EQ,1127.25,1131.0,1133.95,1114.05,1126.0,1126.65,1126.83,1928505,217309298975000.0,71684,1202192,0.6234000000000001
2016-02-23,INFY,EQ,1126.65,1130.25,1132.5,1116.05,1123.0,1123.9,1124.64,1250980,140689596565000.02,78553,662922,0.5299
2016-02-24,INFY,EQ,1123.9,1119.5,1143.75,1118.35,1125.0,1125.35,1132.34,2475357,280293716025000.0,92342,1604525,0.6482
2016-02-25,INFY,EQ,1125.35,1125.4,1130.6,1101.1,1115.9,1110.3,1112.14,2242264,249370976125000.0,102958,1444125,0.644
2016-02-26,INFY,EQ,1110.3,1120.15,1132.0,1116.0,1122.1,1121.15,1121.6,2117818,237533706360000.0,114603,1397368,0.6598
2016-02-29,INFY,EQ,1121.15,1129.5,1130.4,1068.3,1085.55,1084.05,1095.62,4083038,447346943635000.06,95756,2466669,0.6041
2016-03-01,INFY,EQ,1084.05,1094.8,1130.3,1094.8,1128.75,1125.45,1118.92,3193077,357279446690000.0,99480,2364104,0.7404000000000001
2016-03-02,INFY,EQ,1125.45,1137.05,1163.5,1125.0,1158.5,1156.0,1143.15,3607449,412387329205000.0,105889,2027082,0.5619
2016-03-03,INFY,EQ,1156.0,1168.0,1192.85,1154.0,1172.0,1169.3,1173.96,2907152,341289236445000.0,100651,1689844,0.5813
2016-03-04,INFY,EQ,1169.3,1175.6,1185.0,1159.1,1175.3,1170.65,1173.98,2140840,251330044469999.97,63895,1227929,0.5736
2016-03-08,INFY,EQ,1170.65,1163.0,1190.5,1147.4,1160.85,1163.45,1159.98,3808873,441821864145000.0,107108,2482004,0.6516
2016-03-09,INFY,EQ,1163.45,1145.0,1183.75,1142.95,1177.0,1178.5,1168.24,3152891,368332261340000.0,89544,1983227,0.629
2016-03-10,INFY,EQ,1178.5,1162.9,1162.9,1139.35,1142.65,1142.5,1148.72,12190508,1400342595120000.0,90787,8349472,0.6849
2016-03-11,INFY,EQ,1142.5,1146.2,1155.95,1138.2,1141.0,1143.0,1148.57,2029274,233075584490000.0,60784,1051356,0.5181
2016-03-14,INFY,EQ,1143.0,1146.0,1154.25,1138.5,1140.9,1141.2,1143.6,2087131,238684585105000.03,78868,1363995,0.6535
2016-03-15,INFY,EQ,1141.2,1144.0,1154.5,1128.95,1134.6,1134.4,1139.17,3360129,382775599525000.0,73517,2365218,0.7039
2016-03-16,INFY,EQ,1134.4,1141.9,1155.0,1131.55,1151.1,1152.45,1145.49,2794425,320098069265000.0,68267,1732991,0.6202000000000001
